iati-identifier,title,country,region,default-currency,commitment,disbursement,reimbursement,expenditure,loan-repayment,interest-repayment,description,start-planned,start-actual,end-planned,end-actual,activity-status-code,activity-status,policy-markers,policy-marker-vocabulary,policy-marker-significance,policy-marker-codes,contact-organisation,contact-telephone,contact-email,contact-mailing-address,default-tied-status-code,default-tied-status,
"US-EIN-941655673-23717","for supporting the production of AAM's public radio programming, particularly its international affairs program, America Abroad","","International","USD",300000,0,0,0,0,0,"","2006-10-16","","2007-10-16","","","","","","","","America Abroad Media","(202) 457-8050","","1020 Nineteenth Street
Suite 650 Washington, DC  20036","5","Untied",
"US-EIN-941655673-25534","for AAM's public radio programming, particularly its international affairs program, America Abroad","","International","USD",600000,0,0,0,0,0,"","2007-11-19","","2009-11-19","","","","","","","","America Abroad Media","(202) 457-8050","","1020 Nineteenth Street
Suite 650 Washington, DC  20036","5","Untied",
"US-EIN-941655673-29146","for strategic planning","","International","USD",56000,0,0,0,0,0,"","2009-09-01","","2010-09-01","","","","","","","","America Abroad Media","(202) 457-8050","","1020 Nineteenth Street
Suite 650 Washington, DC  20036","5","Untied",
"US-EIN-941655673-23668","for the development of viable agricultural policy options that serve rural interests in the U.S. and developing countries","","International","USD",900000,0,0,0,0,0,"","2006-10-16","","2008-04-16","","","","","","","","American Farmland Trust","(202) 331-7300","","1200 Eighteenth Street, N.W., Suite 800 Washington, DC  20036-2524","5","Untied",
"US-EIN-941655673-24550","for general support of the John D. Gerhart Center for Philanthropy and Civic Engagement at the American University in Cairo","","International","USD",300000,0,0,0,0,0,"","2007-02-26","","2009-02-26","","","","","","","","American University in Cairo","",""," Cairo,   11511 Egypt","5","Untied",
"US-EIN-941655673-29403","for Reproductive Health & Policy Formulation workshops","","Africa","USD",150000,0,0,0,0,0,"","2010-03-22","","2013-03-22","","","","","","","","American University in Cairo","",""," Cairo,   11511 Egypt","5","Untied",
"US-EIN-941655673-23010","for general operating support of the American University in Cairo's Social Research Center","Egypt","","USD",150000,0,0,0,0,0,"","2006-06-19","","2009-06-19","","","","","","","","American University in Cairo","",""," Cairo,   11511 Egypt","5","Untied",
"US-EIN-941655673-29765","for promoting the right to information in Mexico and globally through advocacy and legal assistance","Mexico","","USD",550000,0,0,0,0,0,"","2010-07-19","","2012-03-19","","","","","","","","Article 19 Research and Information Centre on Censorship","011-44-20-7278-9292","","6-8 Amwell Street London, England  EC1R 1UQ United Kingdom","5","Untied",
"US-EIN-941655673-26607","for improving access to information in Mexico and East and West Africa","Mexico","","USD",650000,0,0,0,0,0,"","2008-08-04","","2010-08-04","","","","","","","","Article 19 Research and Information Centre on Censorship","011-44-20-7278-9292","","6-8 Amwell Street London, England  EC1R 1UQ United Kingdom","5","Untied",
"US-EIN-941655673-25281","for organization decentralization and strategic planning","Mexico","","USD",40000,0,0,0,0,0,"","2007-08-13","","2008-08-13","","","","","","","","Article 19 Research and Information Centre on Censorship","011-44-20-7278-9292","","6-8 Amwell Street London, England  EC1R 1UQ United Kingdom","5","Untied",
"US-EIN-941655673-29743","for emergency funding for Sistema de Aprendizaje Tutorial, a rural education program in Honduras","Honduras","","USD",96000,0,0,0,0,0,"","2010-06-19","","2010-11-20","","","","","","","","Asociacion de Desarrollo Socio-Economico Indigena Bayan","(504) 442-2189","","Barrio Bella Vista
Entrando por Autofreno Willy
3era Cuadra a la Izquierda
Asociacion Bayan La Ceiba,    Honduras","5","Untied",
"US-EIN-941655673-28910","for developing an approach to teaching reading in two local languages in Senegal","Senegal","","USD",500000,0,0,0,0,0,"","2009-11-16","","2011-11-16","","","","","","","","Associates in Research and Education for Development Inc.","221-33-825-71-19","","Villa #3074
Amitie 1 Dakar,    Senegal","5","Untied",
"US-EIN-941655673-30185","for support of mother tongue reading and math instruction in Senegal with transitional support","Senegal","","USD",850000,0,0,0,0,0,"","2010-11-15","","2011-11-15","","","","","","","","Association pour le Développement de la Langue Saafi","","","Km 44 Route de Dakar
P.O. Box 62 Pout Thiès/Sébikotane,    Republic of Senegal","5","Untied",
"US-EIN-941655673-24726","for general operating support","","International","USD",100000,0,0,0,0,0,"","2007-06-11","","2007-12-11","","","","","","","","Australian Reproductive Health Alliance, Inc.","011-61-2-6282-8922","","P.O. Box 41 Deakin West,   ACT 2600 Australia","5","Untied",
"US-EIN-941655673-30238","for general support for the Basic Education Coalition","","","USD",0,0,0,0,0,0,"","2009-07-20","","2010-07-20","","","","","","","","Basic Education Coalition","(202) 884-8772","","1825 Connecticut Ave. NW 
Suite 600 Washington, DC  20009","5","Untied",
"US-EIN-941655673-28524","for International Initiative for Impact Evaluation (3ie) board development","","International","USD",69000,0,0,0,0,0,"","2009-06-01","","2010-03-01","","","","","","","","BoardSource","(202) 776-7953","","1828 L Street, N.W. Washington, DC  20036","5","Untied",
"US-EIN-941655673-28509","for an issue of Boston Review on effective interventions in health, education, and development","United States","","USD",40000,0,0,0,0,0,"","2009-07-20","","2010-07-20","","","","","","","","Boston Critic, Inc.","(617) 591-0505","","P.O. Box 425786 Cambridge, MA  02142","5","Untied",
"US-EIN-941655673-23339","for costs related to a special issue of Boston Review on foreign aid","","International","USD",40000,0,0,0,0,0,"","2006-06-19","","2007-06-19","","","","","","","","Boston Critic, Inc.","(617) 591-0505","","P.O. Box 425786 Cambridge, MA  02142","5","Untied",
"US-EIN-941655673-26201","for a review of barriers to accessing the WTO dispute settlement by developing countries","","International","USD",387500,0,0,0,0,0,"","2008-03-17","","2009-07-17","","","","","","","","Brandeis University","",""," Waltham, MA  02454","5","Untied",
"US-EIN-941655673-25874","for developing a communications strategy","","International","USD",65000,0,0,0,0,0,"","2007-11-30","","2008-11-30","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-23808","for general support","","International","USD",1500000,0,0,0,0,0,"","2006-10-16","","2008-10-16","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-30445","for general operating support","United States","International","USD",1500000,0,0,0,0,0,"","2011-03-21","","2012-09-21","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-28898","for general operating support","United States","International","USD",2500000,0,0,0,0,0,"","2009-11-16","","2011-05-16","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-26985","for general support","","International","USD",3000000,0,0,0,0,0,"","2008-08-19","","2010-02-19","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-30176","for IT systems planning","","International","USD",25000,0,0,0,0,0,"","2010-10-29","","2011-10-12","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-30067","for support of the Modernizing Foreign Assistance Network","United States","International","USD",1550000,0,0,0,0,0,"","2010-11-15","","2012-02-15","","","","","","","","Bread for the World Institute, Inc.","(202) 639-9400","","425 3rd Street SW, Suite 1200 Washington, DC  20024","5","Untied",
"US-EIN-941655673-23865","for a book about the World Trade Organization and the Doha Round","","International","USD",100000,0,0,0,0,0,"","2006-10-16","","2008-10-16","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-30567","for support of the Center for Universal Education","","International","USD",3000000,0,0,0,0,0,"","2011-03-21","","2012-06-21","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-28617","for general support for the Center for Universal Education","","International","USD",400000,0,0,0,0,0,"","2009-05-01","","2009-11-30","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-28985","for general support for the Center for Universal Education","","International","USD",1000000,0,0,0,0,0,"","2009-12-31","","2010-12-31","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-27365","for general support of the Global Economy and Development Program","","International","USD",1500000,0,0,0,0,0,"","2008-11-17","","2010-11-17","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-30066","for general support of the Global Economy and Development Program","","International","USD",1200000,0,0,0,0,0,"","2010-11-15","","2012-12-15","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-23594","for general support of the Global Economy and Development Program","","International","USD",2000000,0,0,0,0,0,"","2006-11-03","","2008-11-03","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-27413","for a book about the World Trade Organization and the Doha Round","","International","USD",46000,0,0,0,0,0,"","2008-10-23","","2009-02-23","","","","","","","","Brookings Institution","(202) 797-6000","","1775 Massachusetts Avenue, N.W. Washington, DC  20036-2103","5","Untied",
"US-EIN-941655673-28228","for general support of Brown University's Population Studies and Training Center","","Africa","USD",500000,0,0,0,0,0,"","2009-07-20","","2012-07-20","","","","","","","","Brown University of Providence State of RI and Prov Plantations","","","P.O. Box 1877 Providence, RI  02912","5","Untied",
"US-EIN-941655673-23528","for general support of Brown University's Population Studies and Training Center","","International","USD",500000,0,0,0,0,0,"","2006-10-16","","2009-10-16","","","","","","","","Brown University of Providence State of RI and Prov Plantations","","","P.O. Box 1877 Providence, RI  02912","5","Untied",
"US-EIN-941655673-29656","for a metrics and monitoring framework for the Viazi Halisi project","","Southern Africa","USD",400000,0,0,0,0,0,"","2010-03-31","","2011-04-02","","","","","","","","Calvert Social Investment Foundation Inc","(800) 248-0337","","7315 Wisconsin Avenue, Suite 1100W Bethesda, MD  20814","5","Untied",
"US-EIN-941655673-29754","for general operating support","","Southern Africa","USD",2700000,0,0,0,0,0,"","2010-11-15","","2011-07-19","","","","","","","","Calvert Social Investment Foundation Inc","(800) 248-0337","","7315 Wisconsin Avenue, Suite 1100W Bethesda, MD  20814","5","Untied",
"US-EIN-941655673-24315","for an integrated programmatic, fundraising, strategic, and communications plan","","International","USD",50000,0,0,0,0,0,"","2006-12-08","","2007-12-08","","","","","","","","CARE, Inc.","(404) 681-2552","","151 Ellis Street, NE Atlanta, GA  30303-2440","5","Untied",
"US-EIN-941655673-24697","for general operating support","","International","USD",125000,0,0,0,0,0,"","2007-06-11","","2008-06-11","","","","","","","","CARE, Inc.","(404) 681-2552","","151 Ellis Street, NE Atlanta, GA  30303-2440","5","Untied",
"US-EIN-941655673-22596","for general operating support","","International","USD",250000,0,0,0,0,0,"","2006-02-27","","2007-02-27","","","","","","","","CARE, Inc.","(404) 681-2552","","151 Ellis Street, NE Atlanta, GA  30303-2440","5","Untied",
"US-EIN-941655673-23867","for distribution of Foreign Policy magazine to journalists, editors, and producers of radio and television news programs","","International","USD",100000,0,0,0,0,0,"","2006-10-16","","2007-10-16","","","","","","","","Carnegie Endowment for International Peace","(202) 939-2230","","1779 Massachusetts Avenue, N.W. Washington, DC  20036-2109","5","Untied",
"US-EIN-941655673-25582","for distribution of Foreign Policy magazine to journalists, editors and producers of news programs","","International","USD",300000,0,0,0,0,0,"","2007-11-19","","2010-11-19","","","","","","","","Carnegie Endowment for International Peace","(202) 939-2230","","1779 Massachusetts Avenue, N.W. Washington, DC  20036-2109","5","Untied",
"US-EIN-941655673-23491","for general operating support","","International","USD",675000,0,0,0,0,0,"","2006-10-16","","2008-10-16","","","","","","","","Catholics for Choice","(202) 986-6093","","1436 U Street, N.W.
Suite 301 Washington, DC  20009-3997","5","Untied",
"US-EIN-941655673-22672","for research and analysis on how U.S. commodity programs for sugar, rice, dairy, and cotton affect the world's poorest producers","","International","USD",201000,0,0,0,0,0,"","2006-02-27","","2007-02-27","","","","","","","","Cato Institute","(202) 842-0200","","1000 Massachusetts Avenue, N.W. Washington, DC  20001-5403","5","Untied",
"US-EIN-941655673-30072","for an effort to reform U.S. foreign aid to ensure the foreign policy goal of sustainable security","","International","USD",300000,0,0,0,0,0,"","2010-11-15","","2012-03-15","","","","","","","","Center for American Progress","(202) 682-1611","","1333 H Street, N.W.
Tenth Floor Washington, DC  20005-4707","5","Untied",
"US-EIN-941655673-24831","for an effort to improve U.S. development assistance policies in order to ensure the foreign policy goal of sustainable security","","International","USD",600000,0,0,0,0,0,"","2007-06-11","","2008-06-11","","","","","","","","Center for American Progress","(202) 682-1611","","1333 H Street, N.W.
Tenth Floor Washington, DC  20005-4707","5","Untied",
"US-EIN-941655673-27364","for an effort to reform U.S. foreign aid to ensure the foreign policy goal of sustainable security","","International","USD",600000,0,0,0,0,0,"","2008-11-17","","2009-11-17","","","","","","","","Center for American Progress","(202) 682-1611","","1333 H Street, N.W.
Tenth Floor Washington, DC  20005-4707","5","Untied",
"US-EIN-941655673-22936","for a research project on the future of ODA for population and reproductive health","","International","USD",45000,0,0,0,0,0,"","2006-03-28","","2007-03-28","","","","","","","","Center for Cultural and Technical Interchange between East and West, Inc.","(808) 944-7403","","1601 East-West Road Honolulu, HI  96848-1601","5","Untied",
"US-EIN-941655673-25696","for research on how population growth impacts greenhouse gas emissions","","International","USD",300000,0,0,0,0,0,"","2007-11-19","","2009-11-19","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-23624","for general operating support of the Population Dynamics and Economic Development Program","","International","USD",400000,0,0,0,0,0,"","2006-10-16","","2009-10-16","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-24257","for activities promoting improved collection and use of demographic and reproductive health data for development","","International","USD",200000,0,0,0,0,0,"","2006-12-04","","2007-12-04","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-29028","for research and dissemination on the economic impacts of population and reproductive health","","International","USD",800000,0,0,0,0,0,"","2009-11-16","","2012-11-16","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-27418","for research and dissemination on the economic impacts of population and reproductive health","","International","USD",1500000,0,0,0,0,0,"","2008-11-17","","2011-11-17","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-25568","for the International Initiative for Impact Evaluation (3IE)","","International","USD",2000000,0,0,0,0,0,"","2007-11-19","","2009-11-19","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-28034","for improving and coordinating trade preference programs in developed and emerging economies","","International","USD",250000,0,0,0,0,0,"","2009-11-18","","2010-11-18","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-29538","for general operating support","","International","USD",2400000,0,0,0,0,0,"","2010-03-22","","2013-03-22","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-23658","for general support","","International","USD",3600000,0,0,0,0,0,"","2007-02-26","","2010-02-26","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
"US-EIN-941655673-28867","for a project to lead a discussion on issues in aid modalities to achieve universal basic education","","International","USD",107000,0,0,0,0,0,"","2009-09-22","","2010-09-22","","","","","","","","Center for Global Development","(202) 416-0700","","1800 Massachusetts Avenue, 3rd floor Washington, DC  20036","5","Untied",
